date,Chirac,Jospin,Le Pen,Bayrou,Madelin,Chevènement,Mamère,Laguiller,Hue,Besancenot,year
2002-04-18,19.0,18.0,14.0,6.0,5.0,6.0,5.0,8.0,5.0,3.5,2002
2002-04-18,19.5,18.0,14.0,6.0,3.5,6.5,5.0,7.0,5.0,3.0,2002
2002-04-18,20.0,18.0,14.0,6.0,4.0,6.5,6.5,7.0,5.0,4.0,2002
2002-04-18,19.5,18.0,12.5,6.0,5.0,6.5,6.0,6.5,6.0,4.0,2002
2002-04-17,20.0,18.0,13.0,7.0,5.0,6.0,7.0,8.0,5.0,2.0,2002
2002-04-16,22.0,18.0,13.0,5.0,4.0,6.0,6.5,7.0,5.5,2.5,2002
2002-04-15,20.0,18.0,13.0,6.0,5.0,6.0,5.0,8.0,6.0,2.5,2002
2002-04-13,20.0,16.5,10.5,6.5,3.5,8.5,6.5,7.0,5.5,4.0,2002
2002-04-13,18.5,18.0,14.0,6.0,5.0,6.0,6.0,9.0,5.0,2.0,2002
2002-04-12,19.0,17.0,9.5,6.5,3.5,8.0,7.0,8.0,5.5,3.5,2002
2002-04-11,21.0,19.0,12.0,5.5,3.5,7.0,6.5,8.0,5.5,1.5,2002
2002-04-11,22.0,19.0,13.0,5.0,5.0,6.0,4.5,8.0,6.0,2.5,2002
2002-04-06,21.0,17.5,13.0,5.5,3.5,8.0,8.0,8.5,5.0,1.0,2002
2002-04-06,23.0,19.0,12.0,5.0,3.5,8.5,5.0,11.0,5.0,1.0,2002
2002-04-06,20.0,20.0,12.0,5.0,3.5,6.0,6.5,11.0,5.0,1.0,2002
2002-04-05,21.0,21.0,12.5,6.0,3.5,6.0,7.0,8.5,5.5,1.0,2002
2002-04-04,22.0,18.5,11.5,4.5,3.0,8.0,8.5,8.5,4.0,1.0,2002
2002-04-04,24.0,19.0,12.0,4.0,4.0,7.0,5.0,9.0,6.0,0.5,2002
2002-03-30,24.0,20.0,10.0,5.0,3.0,8.0,5.0,10.0,5.0,1.0,2002
2002-03-30,27.0,21.0,,5.5,3.5,10.5,5.0,11.0,5.0,1.0,2002
2002-03-30,21.0,21.0,10.0,4.5,3.5,8.0,6.0,10.0,6.0,1.0,2002
