date,Sarkozy,Royal,Bayrou,Le Pen,Besancenot,Villiers,Buffet,Voynet,Laguiller,Bové,year
2007-04-21,30.0,25.0,18.0,13.0,4.0,2.5,2.0,1.0,1.5,1.5,2007
2007-04-20,29.0,26.0,17.0,12.5,5.0,2.0,2.5,1.0,2.5,1.0,2007
2007-04-20,26.5,25.5,16.0,16.5,5.0,1.5,2.5,1.5,2.0,1.5,2007
2007-04-20,30.0,23.5,17.0,13.5,4.5,2.0,2.5,1.5,2.0,1.0,2007
2007-04-19,27.0,26.0,17.0,16.0,5.0,1.0,1.5,1.5,1.0,3.0,2007
2007-04-19,30.0,23.0,18.0,13.0,4.0,2.5,2.5,1.5,1.5,1.5,2007
2007-04-19,28.0,24.0,19.5,14.0,5.0,1.5,2.5,1.0,1.5,1.5,2007
2007-04-19,28.0,22.5,20.0,13.0,4.0,2.5,3.0,1.5,2.0,1.5,2007
2007-04-18,30.0,23.5,18.5,13.0,3.5,2.0,2.5,1.5,1.5,1.5,2007
2007-04-17,29.0,25.0,15.0,13.0,5.0,3.0,3.0,1.0,2.0,2.0,2007
2007-04-17,29.5,24.5,18.5,13.5,3.5,1.5,2.5,1.5,1.0,1.5,2007
2007-04-17,28.5,25.0,19.0,14.0,3.5,1.5,2.5,1.5,1.5,1.0,2007
2007-04-16,27.0,25.0,19.0,15.5,4.0,1.5,2.0,2.0,1.0,1.5,2007
2007-04-16,28.0,22.5,19.0,12.5,4.0,2.5,3.0,1.5,3.0,1.5,2007
2007-04-16,28.5,25.0,18.5,14.0,3.5,1.5,3.0,1.0,1.0,1.5,2007
2007-04-15,27.0,23.0,19.0,14.0,5.0,1.5,2.5,2.0,2.5,1.5,2007
2007-04-14,29.5,25.0,17.5,13.5,3.5,1.5,3.0,1.0,1.5,2.0,2007
2007-04-13,28.5,24.0,18.0,13.0,4.0,2.0,3.0,1.0,2.0,2.0,2007
2007-04-13,29.5,24.5,17.5,14.0,3.5,1.5,2.5,1.5,1.5,1.5,2007
2007-04-12,26.0,23.0,21.0,15.0,4.0,1.5,2.5,1.0,2.0,1.5,2007
2007-04-12,30.0,26.0,17.0,12.0,4.0,1.0,2.5,1.5,2.5,2.0,2007
2007-04-12,30.0,24.0,18.5,13.5,3.5,1.5,2.0,1.5,1.5,1.5,2007
2007-04-11,27.0,25.0,19.0,15.0,3.5,1.0,2.0,1.5,2.0,2.0,2007
2007-04-11,29.5,24.0,19.0,14.0,3.5,1.0,1.5,1.5,2.0,2.0,2007
2007-04-10,28.0,24.0,18.0,14.0,3.5,2.0,3.0,1.0,2.0,2.0,2007
2007-04-10,30.0,23.5,19.0,13.5,4.0,1.0,1.5,1.0,2.0,2.5,2007
2007-04-09,30.5,23.0,19.5,13.0,4.5,1.0,2.0,1.0,2.0,2.0,2007
2007-04-07,28.0,24.0,18.0,15.0,4.0,1.5,2.5,2.0,1.5,2.0,2007
2007-04-07,30.5,22.5,19.5,13.0,5.0,1.0,2.5,1.0,2.0,1.5,2007
2007-04-06,29.5,22.0,19.0,14.0,4.5,1.0,2.5,1.5,2.0,2.0,2007
2007-04-06,31.5,23.5,19.0,12.5,4.5,1.0,2.5,1.0,2.0,1.0,2007
2007-04-05,26.0,23.5,21.0,16.0,3.5,1.0,2.0,1.5,2.0,1.5,2007
2007-04-05,28.0,23.5,20.0,13.0,4.0,1.5,3.0,1.0,2.5,2.0,2007
2007-04-05,31.0,24.0,18.5,13.0,4.0,1.0,2.5,1.0,2.0,1.5,2007
2007-04-04,31.5,24.5,18.5,13.0,3.5,1.0,2.5,1.0,1.5,1.5,2007
2007-04-03,29.5,24.0,18.0,12.0,4.0,2.5,2.5,1.0,3.0,2.0,2007
2007-04-03,31.5,25.0,18.5,13.0,3.5,1.0,2.5,1.5,1.0,1.0,2007
2007-04-02,27.5,23.0,20.0,14.0,5.0,1.5,2.0,1.0,2.0,2.0,2007
2007-04-02,31.5,24.0,19.0,13.5,4.0,1.0,2.0,1.0,1.5,1.0,2007
2007-03-31,29.0,26.0,18.0,13.0,5.0,1.0,3.0,1.0,1.0,2.0,2007
2007-03-31,31.0,24.5,19.0,13.0,4.5,1.0,2.0,1.0,1.5,1.0,2007
2007-03-30,32.0,24.0,18.5,12.0,4.5,1.0,2.5,0.5,1.5,1.5,2007
2007-03-29,26.0,24.5,19.5,15.0,3.0,1.5,4.0,1.0,2.0,2.0,2007
2007-03-29,30.0,27.0,18.0,12.0,3.5,1.0,2.5,1.0,1.0,2.5,2007
2007-03-29,31.5,25.0,17.5,12.0,4.0,1.5,2.5,0.5,2.0,1.5,2007
2007-03-28,28.0,23.0,21.0,13.5,3.5,2.5,2.5,1.0,2.0,1.5,2007
2007-03-28,31.0,24.5,18.0,12.5,4.5,1.5,2.0,0.5,2.0,1.5,2007
2007-03-27,28.0,27.0,20.0,12.0,4.5,1.0,2.0,1.0,3.0,1.0,2007
2007-03-27,30.5,25.0,18.5,13.0,3.5,1.5,2.0,0.5,2.0,2.0,2007
2007-03-26,31.0,25.5,18.5,13.0,3.5,1.0,2.5,0.5,1.5,1.5,2007
2007-03-24,27.0,27.0,20.0,12.0,3.0,1.5,2.0,1.0,2.5,1.5,2007
2007-03-24,30.0,25.5,19.0,13.5,3.0,1.0,2.0,1.0,2.0,1.5,2007
2007-03-23,26.0,25.0,22.0,14.5,3.5,2.0,2.0,1.0,2.0,1.0,2007
2007-03-23,31.0,25.0,18.5,13.0,3.5,1.5,2.0,1.0,2.0,1.5,2007
2007-03-22,26.0,26.0,21.0,13.0,3.5,1.5,3.0,1.0,2.0,2.0,2007
2007-03-22,28.0,26.5,21.5,11.0,3.5,1.0,2.0,1.0,2.0,2.5,2007
2007-03-22,31.5,24.5,19.0,13.5,3.5,1.5,1.5,1.0,1.0,2.0,2007
2007-03-21,30.5,25.5,18.5,13.0,3.5,2.0,1.5,1.0,1.0,2.5,2007
2007-03-20,31.0,24.0,17.0,13.0,4.0,1.0,4.0,1.0,2.0,2.0,2007
2007-03-20,29.5,25.5,20.5,12.5,4.0,1.5,1.0,1.0,1.5,2.0,2007
2007-03-19,28.0,24.0,21.0,14.0,4.0,1.0,3.0,1.0,2.0,1.5,2007
2007-03-19,28.5,25.0,21.5,12.0,3.5,2.0,1.5,0.5,2.0,2.0,2007
2007-03-17,26.0,24.0,22.5,14.0,3.0,1.5,2.0,1.5,3.0,2.0,2007
2007-03-17,29.0,26.0,22.0,12.5,2.5,1.5,2.0,1.0,1.0,1.5,2007
2007-03-17,29.5,25.0,21.0,12.5,3.5,1.5,2.0,0.5,2.0,1.5,2007
2007-03-16,29.5,24.0,22.0,12.5,3.0,1.0,2.5,0.5,2.0,2.0,2007
2007-03-15,31.0,24.0,22.0,12.0,2.0,0.5,2.5,1.0,2.0,2.0,2007
2007-03-15,29.0,23.0,23.0,13.0,3.0,0.5,2.5,1.0,2.0,2.0,2007
2007-03-14,27.0,26.0,21.0,14.0,2.0,1.5,2.0,1.0,2.0,2.0,2007
2007-03-14,28.5,24.0,23.0,13.5,3.0,0.5,2.5,1.0,2.0,1.5,2007
2007-03-13,29.0,23.0,21.0,13.0,3.0,2.0,3.0,1.0,2.0,2.0,2007
2007-03-13,28.0,25.0,24.0,13.0,3.0,0.5,2.0,1.0,2.0,1.0,2007
2007-03-12,29.5,26.0,22.0,13.5,2.5,0.5,2.0,1.0,1.5,1.0,2007
2007-03-10,28.0,26.0,22.0,13.5,2.0,1.5,2.5,1.0,2.0,1.5,2007
2007-03-10,31.0,25.5,21.5,12.5,2.5,0.5,2.0,1.5,1.5,1.0,2007
2007-03-09,28.0,23.0,23.0,13.0,3.5,1.0,2.0,1.0,2.0,1.5,2007
2007-03-09,34.5,24.0,25.0,,3.5,3.5,2.0,1.0,3.0,1.5,2007
2007-03-09,32.5,26.0,20.5,12.5,2.0,0.5,2.0,1.0,1.5,1.0,2007
2007-03-08,27.0,25.5,23.0,12.0,4.0,1.5,1.5,1.0,2.5,1.5,2007
2007-03-08,30.0,26.5,25.0,,4.5,3.0,2.0,1.0,2.5,3.0,2007
2007-03-08,27.0,25.5,23.0,12.0,4.0,1.0,2.0,1.5,1.5,2.0,2007
2007-03-08,33.0,26.5,20.0,12.0,2.0,1.0,2.0,0.5,1.0,1.5,2007
2007-03-07,26.0,25.0,24.0,14.0,2.5,1.0,1.0,1.0,1.0,3.0,2007
2007-03-07,32.5,27.0,19.0,12.5,2.0,1.0,2.0,0.5,1.0,1.5,2007
2007-03-06,29.0,24.0,21.0,13.0,3.0,1.0,3.0,1.0,3.0,1.0,2007
2007-03-06,32.5,26.5,18.5,13.0,2.0,1.0,2.0,1.0,1.5,1.0,2007
2007-03-05,32.0,26.0,19.0,12.5,2.0,0.5,2.5,1.0,1.5,1.0,2007
2007-03-03,28.0,27.0,20.0,14.0,1.5,1.0,2.5,1.0,2.0,2.0,2007
2007-03-03,32.0,25.0,19.0,12.5,2.5,0.5,2.5,1.0,1.5,1.5,2007
2007-03-02,31.0,25.0,19.0,12.0,3.0,0.5,2.5,1.0,2.0,1.5,2007
2007-03-01,31.0,25.5,18.5,12.0,3.0,1.0,3.5,1.0,2.0,2.0,2007
2007-03-01,31.5,26.0,18.0,12.5,3.0,0.5,2.0,1.0,2.0,1.5,2007
2007-02-28,29.0,29.0,17.0,14.0,2.0,1.0,2.5,1.0,1.0,2.0,2007
2007-02-28,32.0,25.0,18.0,12.5,2.5,1.0,2.0,1.5,2.0,1.5,2007
2007-02-27,31.0,25.0,17.0,14.0,5.0,1.0,3.0,1.0,2.0,1.0,2007
2007-02-26,29.0,25.5,19.0,12.0,4.0,2.0,2.5,0.5,2.0,2.0,2007
2007-02-26,28.0,27.0,18.0,12.0,3.0,2.0,3.0,1.0,2.0,2.0,2007
2007-02-24,31.0,26.0,17.5,13.0,3.0,1.5,2.0,1.0,1.0,2.0,2007
2007-02-24,30.0,27.0,17.0,13.0,3.5,1.0,2.5,1.0,2.0,1.5,2007
2007-02-23,28.0,28.0,17.0,11.5,3.0,2.0,2.5,2.0,2.5,2.0,2007
