date,Hollande,Sarkozy,Le Pen,Mélenchon,Bayrou,Joly,year
2012-04-20,27.5,27.0,16.5,13.5,10.0,2.5,2012
2012-04-20,27.0,27.0,16.0,13.5,10.5,3.0,2012
2012-04-19,30.0,26.5,14.0,14.0,10.0,2.0,2012
2012-04-19,28.0,25.0,16.0,14.5,10.5,2.0,2012
2012-04-19,27.5,26.5,16.0,12.0,11.0,3.0,2012
2012-04-19,29.0,25.5,16.0,14.0,10.0,2.0,2012
2012-04-19,27.0,27.0,17.0,13.0,10.0,3.0,2012
2012-04-19,26.0,28.0,16.0,13.5,11.0,2.5,2012
2012-04-18,27.0,26.5,15.5,15.0,10.0,2.5,2012
2012-04-18,26.0,27.5,16.0,13.5,11.0,3.0,2012
2012-04-17,29.5,27.5,14.0,13.0,12.0,2.0,2012
2012-04-17,29.0,24.0,17.0,15.0,10.0,2.0,2012
2012-04-17,27.5,27.5,16.0,13.0,10.0,2.0,2012
2012-04-17,26.5,27.5,16.0,13.5,10.5,3.0,2012
2012-04-16,27.0,28.0,17.0,12.0,11.0,2.0,2012
2012-04-15,28.0,27.0,15.5,14.5,9.5,3.0,2012
2012-04-15,27.5,27.0,16.0,14.0,10.0,2.5,2012
2012-04-14,27.0,27.0,15.5,14.5,10.0,2.5,2012
2012-04-13,27.0,28.0,16.0,13.0,10.5,3.0,2012
2012-04-12,30.0,27.0,15.0,13.0,11.0,2.0,2012
2012-04-12,28.0,26.0,16.0,16.0,9.0,2.5,2012
2012-04-12,27.0,28.5,16.0,13.5,10.0,3.0,2012
2012-04-11,27.0,26.0,15.0,17.0,11.0,1.5,2012
2012-04-11,29.5,27.0,14.0,13.0,10.5,2.5,2012
2012-04-11,27.0,28.0,16.0,13.0,10.0,2.5,2012
2012-04-11,27.0,28.0,16.0,14.0,10.0,3.0,2012
2012-04-10,27.5,28.0,16.5,14.0,9.5,2.5,2012
2012-04-07,28.5,29.0,15.0,14.5,9.5,1.5,2012
2012-04-07,27.0,28.5,16.5,14.0,9.5,2.5,2012
2012-04-07,27.0,28.0,17.0,13.5,10.0,2.5,2012
2012-04-06,27.0,28.0,16.0,13.0,10.0,3.0,2012
2012-04-06,26.5,29.0,16.5,12.5,10.0,3.0,2012
2012-04-05,26.5,28.5,16.0,13.0,10.0,3.0,2012
2012-04-04,26.0,28.5,16.0,14.0,11.0,2.0,2012
2012-04-04,27.0,28.5,16.0,12.5,10.5,3.0,2012
2012-04-03,29.0,30.0,13.0,15.0,10.0,1.5,2012
