date,Macron,Le Pen,Fillon,Mélenchon,Hamon,Dupont-Aignan,Poutou,year
2017-04-21,24.5,23.0,19.0,19.0,7.5,4.5,1.0,2017
2017-04-21,23.0,23.0,19.0,19.5,8.0,4.0,1.5,2017
2017-04-21,24.5,22.5,19.5,18.5,7.0,4.0,1.5,2017
2017-04-20,25.0,22.0,19.5,19.5,6.0,4.0,1.5,2017
2017-04-20,24.0,21.5,20.0,19.5,7.0,4.0,1.5,2017
2017-04-20,24.0,22.0,19.0,19.0,7.5,4.0,1.5,2017
2017-04-20,24.5,21.0,20.0,19.0,7.5,4.0,1.5,2017
2017-04-20,23.0,22.0,21.0,18.0,8.0,4.0,2.0,2017
2017-04-20,24.0,22.5,19.5,18.5,7.0,4.0,1.5,2017
2017-04-19,24.0,23.0,19.0,19.0,8.5,3.5,1.5,2017
2017-04-19,25.0,22.0,19.0,19.0,7.5,4.0,1.5,2017
2017-04-19,23.0,22.0,20.0,19.0,8.0,4.0,2.0,2017
2017-04-19,23.5,22.5,19.5,18.5,7.5,4.0,1.5,2017
2017-04-18,23.0,22.0,20.0,19.0,8.0,4.0,2.0,2017
2017-04-18,23.5,22.5,19.5,19.0,7.5,4.0,1.5,2017
2017-04-17,24.0,23.0,19.5,18.0,8.0,4.0,2.0,2017
2017-04-17,23.0,22.5,19.5,19.0,8.0,4.0,1.5,2017
2017-04-17,23.0,22.0,20.0,19.0,8.0,4.0,2.0,2017
2017-04-17,24.0,23.0,18.5,18.0,8.0,4.0,2.0,2017
2017-04-17,23.0,22.5,19.5,19.5,7.5,4.0,1.5,2017
2017-04-16,22.0,22.0,21.0,18.0,8.0,3.0,2.0,2017
2017-04-15,23.0,22.0,19.0,19.5,8.0,4.0,2.0,2017
2017-04-15,24.0,21.5,17.5,22.0,8.0,3.5,1.5,2017
2017-04-14,23.0,22.0,20.0,20.0,7.5,3.0,1.5,2017
2017-04-14,22.5,23.0,19.0,19.0,8.0,4.0,2.0,2017
2017-04-13,22.0,22.0,19.0,20.0,7.5,3.5,2.0,2017
2017-04-13,24.5,23.0,18.5,19.0,8.0,3.5,1.5,2017
2017-04-13,24.0,22.0,20.0,19.0,8.0,4.0,1.0,2017
2017-04-13,22.0,23.0,20.0,17.0,9.0,3.0,2.0,2017
2017-04-13,22.5,23.5,19.0,19.0,8.5,3.5,2.0,2017
2017-04-12,23.5,22.5,20.0,18.5,9.0,3.0,2.0,2017
2017-04-12,23.0,24.0,20.0,17.0,8.0,3.0,2.0,2017
2017-04-12,22.5,23.5,19.0,18.5,8.5,3.5,2.0,2017
2017-04-11,23.0,24.0,20.0,18.0,7.0,3.0,2.0,2017
2017-04-11,23.0,24.0,19.0,18.5,8.5,3.5,1.5,2017
2017-04-10,23.0,23.0,19.0,17.0,10.0,4.0,2.5,2017
2017-04-10,23.0,24.0,19.0,18.0,8.0,3.0,2.0,2017
2017-04-10,23.0,24.0,18.5,18.0,9.0,4.0,2.0,2017
2017-04-09,24.0,24.0,18.0,18.5,8.0,3.5,1.5,2017
2017-04-09,23.0,24.0,19.0,18.0,9.0,3.0,2.0,2017
2017-04-08,23.0,24.0,18.5,19.0,8.0,3.5,2.0,2017
2017-04-07,23.0,23.0,19.0,19.0,8.5,3.5,1.5,2017
2017-04-07,24.0,24.0,17.0,18.0,9.0,3.5,2.5,2017
2017-04-07,23.5,24.5,18.5,17.0,9.5,4.5,1.0,2017
2017-04-06,24.0,23.0,19.0,18.0,9.0,3.0,1.0,2017
2017-04-06,24.0,25.0,20.0,16.0,10.0,3.0,2.0,2017
2017-04-06,24.0,24.5,18.5,16.5,9.5,4.5,1.0,2017
2017-04-05,23.5,23.5,19.0,17.0,9.0,4.5,1.5,2017
2017-04-05,25.0,24.0,18.0,17.0,9.0,3.0,1.0,2017
2017-04-05,23.5,23.0,18.5,18.0,9.0,4.0,2.0,2017
2017-04-05,24.0,25.0,20.0,16.0,10.0,3.0,1.0,2017
2017-04-05,24.5,25.0,18.0,16.0,9.5,4.5,1.0,2017
2017-04-04,26.0,24.0,18.0,16.0,10.0,4.0,0.5,2017
2017-04-04,24.0,26.0,20.0,15.0,10.0,3.0,1.0,2017
2017-04-04,25.0,25.0,17.5,15.5,10.0,4.5,0.5,2017
2017-04-03,24.0,26.0,20.0,15.0,10.0,3.0,1.0,2017
2017-04-03,26.0,25.5,17.0,15.0,10.0,4.0,0.5,2017
2017-04-02,25.0,25.0,17.5,15.0,10.0,4.0,1.0,2017
2017-04-02,24.0,25.0,19.0,15.0,11.0,4.0,1.0,2017
2017-03-31,26.0,25.0,17.5,15.0,10.0,4.0,1.0,2017
2017-03-30,25.0,24.0,19.0,15.0,11.5,3.0,0.5,2017
2017-03-30,26.0,25.0,17.0,16.0,8.0,5.0,1.5,2017
2017-03-30,24.0,24.0,19.0,15.0,11.0,4.0,1.0,2017
2017-03-30,26.0,25.5,17.5,14.5,10.0,4.0,1.0,2017
2017-03-29,25.5,24.0,18.0,15.0,10.0,4.5,0.5,2017
2017-03-29,25.0,25.0,20.0,15.0,10.0,3.0,1.0,2017
2017-03-29,26.0,25.5,17.5,14.0,10.0,4.5,0.5,2017
2017-03-28,25.0,25.0,20.0,15.0,10.0,3.0,1.0,2017
2017-03-28,25.5,25.0,17.5,14.0,10.5,4.5,0.5,2017
2017-03-27,24.0,25.0,18.0,14.0,12.0,3.5,1.0,2017
2017-03-27,24.0,26.0,20.0,14.0,10.0,3.0,1.0,2017
2017-03-27,25.5,25.0,17.5,14.0,10.5,5.0,0.5,2017
2017-03-26,24.0,26.0,20.0,13.0,11.0,3.0,1.0,2017
2017-03-24,26.0,25.0,17.0,14.0,11.5,4.0,0.5,2017
2017-03-24,26.0,25.0,18.0,13.0,10.5,5.0,0.5,2017
