date,Macron,Le Pen,Mélenchon,Zemmour,Pécresse,Hidalgo,Jadot,Roussel,Poutou,Lassalle,year
2022-04-08,26.5,22.5,17.5,9.0,8.5,2.0,5.0,3.0,1.0,2.0,2022
2022-04-08,27.0,24.0,18.0,8.5,8.0,2.0,4.5,2.5,1.0,2.0,2022
2022-04-08,26.0,25.0,17.5,8.5,8.0,2.0,4.0,2.5,1.0,2.5,2022
2022-04-08,26.0,21.0,18.0,9.5,9.0,2.0,4.0,2.5,1.0,3.0,2022
2022-04-08,26.5,23.0,16.5,9.0,8.5,2.5,5.0,3.0,1.0,2.0,2022
2022-04-08,26.0,22.0,17.0,9.0,9.0,2.0,5.0,3.0,1.0,3.0,2022
2022-04-08,26.0,24.0,17.0,9.0,9.0,2.0,5.0,2.5,1.0,2.5,2022
2022-04-07,26.0,23.0,17.5,9.5,8.5,2.5,4.5,2.5,1.0,2.5,2022
2022-04-07,26.5,23.0,16.5,8.5,8.5,2.0,5.5,3.5,1.0,2.5,2022
2022-04-07,26.0,22.0,17.0,9.0,9.0,2.0,5.0,3.0,1.0,3.0,2022
2022-04-07,26.5,24.0,17.5,8.5,9.0,2.0,4.5,2.5,1.0,2.5,2022
2022-04-07,26.0,23.0,16.0,13.0,6.0,1.0,5.0,2.0,1.0,3.0,2022
2022-04-06,28.0,24.0,16.0,8.0,7.0,2.0,5.0,3.0,1.0,3.0,2022
2022-04-06,27.0,22.0,17.0,8.5,8.0,2.0,6.0,3.5,1.0,2.5,2022
2022-04-06,27.0,23.0,16.0,9.0,9.0,2.0,5.0,3.0,1.0,3.0,2022
2022-04-06,27.0,23.5,17.5,9.0,9.0,2.0,4.5,2.5,0.5,2.0,2022
2022-04-05,25.0,23.0,16.0,11.0,8.0,2.5,5.0,3.0,1.0,3.0,2022
2022-04-05,28.0,23.0,15.5,9.0,8.0,2.0,5.0,2.5,1.5,3.0,2022
2022-04-05,27.0,20.5,16.5,10.0,8.0,2.0,5.5,3.5,1.0,3.0,2022
2022-04-05,27.0,23.0,15.0,9.0,9.0,2.0,6.0,3.0,1.0,3.0,2022
2022-04-05,27.0,23.0,16.5,9.5,9.5,2.5,4.5,3.0,0.5,2.0,2022
2022-04-04,26.5,21.5,16.0,10.0,8.5,2.0,6.0,3.5,1.0,2.5,2022
2022-04-04,26.0,20.0,17.0,11.0,10.0,2.0,4.0,2.5,1.0,3.0,2022
2022-04-04,26.5,23.0,17.0,9.5,9.5,2.0,5.0,2.5,1.0,2.0,2022
2022-04-04,28.0,22.0,14.0,9.0,9.0,2.0,6.0,3.0,1.0,3.0,2022
2022-04-04,26.5,21.0,16.0,10.5,8.5,2.0,5.5,3.5,1.0,3.0,2022
2022-04-04,27.5,22.0,15.5,10.0,10.0,2.0,4.5,3.0,1.0,2.0,2022
2022-04-03,27.0,22.0,14.0,9.0,10.0,2.0,6.0,4.0,1.0,3.0,2022
2022-04-02,26.0,21.0,15.5,11.0,9.5,2.0,6.0,3.0,1.5,2.5,2022
2022-04-01,27.0,22.0,15.0,10.5,9.0,2.0,5.0,3.5,1.0,2.5,2022
2022-04-01,28.5,22.0,15.0,9.5,8.5,1.5,4.5,3.5,1.5,2.5,2022
2022-04-01,28.0,20.0,15.0,10.0,9.0,3.0,5.0,3.0,1.0,3.0,2022
2022-04-01,26.5,20.0,16.0,11.0,9.5,2.0,6.5,3.0,1.0,2.5,2022
2022-04-01,28.0,21.5,15.0,11.0,9.5,1.5,4.5,3.5,1.0,2.0,2022
2022-03-31,27.0,21.0,15.5,9.5,9.5,2.0,5.0,3.5,1.0,2.5,2022
2022-03-31,27.0,21.0,15.0,10.0,10.0,2.0,5.0,4.0,1.0,2.0,2022
2022-03-31,27.0,18.0,16.0,12.0,10.0,2.0,5.0,3.0,1.0,2.5,2022
2022-03-31,27.0,25.0,15.0,9.0,8.0,1.0,6.0,2.0,1.0,3.0,2022
